depth_mm,age_calBP,d18OcarbVPDB
398.170,2590.11,-9.42
398.230,2590.36,-9.35
398.290,2590.61,-9.33
398.350,2590.86,-9.29
398.410,2591.11,-9.40
398.470,2591.36,-9.44
398.530,2591.61,-9.05
398.590,2591.86,-9.46
398.650,2592.11,-9.56
398.710,2592.36,-9.49
398.770,2592.61,-9.61
398.830,2592.86,-9.35
398.890,2593.11,-9.57
398.950,2593.36,-9.39
399.010,2593.61,-9.49
399.070,2593.86,-9.47
399.130,2594.11,-9.47
399.190,2594.36,-9.27
399.250,2594.61,-9.47
399.310,2594.86,-9.54
399.370,2595.11,-9.28
399.430,2595.36,-9.32
399.490,2595.61,-9.24
399.550,2595.86,-9.32
399.610,2596.11,-9.34
399.670,2596.36,-9.45
399.730,2596.61,-9.38
399.790,2596.86,-9.46
399.850,2597.11,-9.36
399.910,2597.36,-9.47
399.970,2597.61,-9.58
400.030,2597.86,-9.39
474.630,3234.12,-9.65
474.660,3234.37,-9.58
474.690,3234.62,-9.53
474.720,3234.87,-9.58
474.750,3235.12,-9.70
474.780,3235.37,-9.63
474.810,3235.62,-9.58
474.840,3235.87,-9.64
474.870,3236.12,-9.62
474.900,3236.37,-9.60
474.930,3236.62,-9.66
474.960,3236.87,-9.60
474.990,3237.12,-9.66
475.020,3237.37,-9.49
475.050,3237.62,-9.57
475.080,3237.87,-9.60
475.110,3238.12,-9.52
475.140,3238.37,-9.44
475.170,3238.62,-9.72
475.200,3238.87,-9.80
475.230,3239.12,-9.74
475.260,3239.37,-9.66
475.290,3239.62,-9.72
475.320,3239.87,-9.67
475.350,3240.12,-9.62
475.380,3240.37,-9.79
475.410,3240.62,-9.83
475.440,3240.87,-9.81
475.470,3241.12,-9.60
475.500,3241.37,-9.77
475.530,3241.62,-9.73
475.560,3241.87,-9.77
475.590,3242.12,-9.73
475.620,3242.37,-9.82
475.650,3242.62,-9.71
475.680,3242.87,-9.72
475.710,3243.12,-9.73
475.740,3243.37,-9.88
475.770,3243.62,-9.77
475.800,3243.87,-9.66
475.830,3244.12,-9.73
475.860,3244.37,-9.68
475.890,3244.62,-9.68
475.920,3244.87,-9.69
475.950,3245.12,-9.77
475.980,3245.37,-9.84
476.010,3245.62,-9.63
476.040,3245.87,-9.79
476.070,3246.12,-9.67
476.100,3246.37,-9.88
476.130,3246.62,-9.73
476.160,3246.87,-9.70
476.190,3247.12,-9.63
476.220,3247.37,-9.65
476.250,3247.62,-9.72
476.280,3247.87,-9.80
476.310,3248.12,-9.65
476.340,3248.37,-9.92
476.370,3248.62,-9.80
476.400,3248.87,-9.83
476.430,3249.12,-9.82
476.460,3249.37,-9.84
476.490,3249.62,-9.81
